year,month,state,rto,vehicle_category,fuel,value,unit,note
2025,June,Andaman and Nicobar Islands,All Vahan Running Office,LIGHT MOTOR VEHICLE,PETROL/HYBRID,24,value in Absolute Number,
2025,June,Andaman and Nicobar Islands,All Vahan Running Office,LIGHT MOTOR VEHICLE,PURE EV,5,value in Absolute Number,
2025,June,Andaman and Nicobar Islands,All Vahan Running Office,LIGHT PASSENGER VEHICLE,PETROL/HYBRID,12,value in Absolute Number,
2025,June,Andaman and Nicobar Islands,All Vahan Running Office,TWO WHEELER(NT),ELECTRIC(BOV),1,value in Absolute Number,
2025,June,Andaman and Nicobar Islands,All Vahan Running Office,TWO WHEELER(NT),PURE EV,4,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,HEAVY PASSENGER VEHICLE,PURE EV,9,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT GOODS VEHICLE,ELECTRIC(BOV),3,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT GOODS VEHICLE,PURE EV,9,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,DIESEL/HYBRID,12,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,ELECTRIC(BOV),52,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,PETROL/HYBRID,346,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,PURE EV,358,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,STRONG HYBRID EV,171,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT PASSENGER VEHICLE,PETROL/HYBRID,19,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT PASSENGER VEHICLE,PURE EV,1,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,LIGHT PASSENGER VEHICLE,STRONG HYBRID EV,3,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,THREE WHEELER(T),ELECTRIC(BOV),182,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,THREE WHEELER(T),PURE EV,248,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,TWO WHEELER(NT),ELECTRIC(BOV),519,value in Absolute Number,
2025,June,Andhra Pradesh,All Vahan Running Office,TWO WHEELER(NT),PURE EV,3162,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,DIESEL/HYBRID,1,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,ELECTRIC(BOV),1,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,PETROL/HYBRID,130,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,PURE EV,3,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,LIGHT MOTOR VEHICLE,STRONG HYBRID EV,13,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,LIGHT PASSENGER VEHICLE,PETROL/HYBRID,1,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,TWO WHEELER(NT),ELECTRIC(BOV),3,value in Absolute Number,
2025,June,Arunachal Pradesh,All Vahan Running Office,TWO WHEELER(NT),PURE EV,1,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT GOODS VEHICLE,ELECTRIC(BOV),10,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT MOTOR VEHICLE,DIESEL/HYBRID,2,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT MOTOR VEHICLE,ELECTRIC(BOV),11,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT MOTOR VEHICLE,PETROL/HYBRID,473,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT MOTOR VEHICLE,PURE EV,25,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT MOTOR VEHICLE,STRONG HYBRID EV,36,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT PASSENGER VEHICLE,ELECTRIC(BOV),1,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,LIGHT PASSENGER VEHICLE,PETROL/HYBRID,6,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,THREE WHEELER(T),ELECTRIC(BOV),4211,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,THREE WHEELER(T),PURE EV,2918,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,TWO WHEELER(NT),ELECTRIC(BOV),56,value in Absolute Number,
2025,June,Assam,All Vahan Running Office,TWO WHEELER(NT),PURE EV,266,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT GOODS VEHICLE,ELECTRIC(BOV),4,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT GOODS VEHICLE,PURE EV,3,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT MOTOR VEHICLE,DIESEL/HYBRID,4,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT MOTOR VEHICLE,ELECTRIC(BOV),38,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT MOTOR VEHICLE,PETROL/HYBRID,401,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT MOTOR VEHICLE,PURE EV,38,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT MOTOR VEHICLE,STRONG HYBRID EV,47,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,LIGHT PASSENGER VEHICLE,PETROL/HYBRID,1,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,THREE WHEELER(T),ELECTRIC(BOV),4866,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,THREE WHEELER(T),PURE EV,2642,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,TWO WHEELER(NT),ELECTRIC(BOV),264,value in Absolute Number,
2025,June,Bihar,All Vahan Running Office,TWO WHEELER(NT),PURE EV,2287,value in Absolute Number,
2025,June,Chandigarh,All Vahan Running Office,FOUR WHEELER (INVALID CARRIAGE),PETROL/HYBRID,1,value in Absolute Number,
2025,June,Chandigarh,All Vahan Running Office,FOUR WHEELER (INVALID CARRIAGE),STRONG HYBRID EV,1,value in Absolute Number,
2025,June,Chandigarh,All Vahan Running Office,LIGHT GOODS VEHICLE,ELECTRIC(BOV),1,value in Absolute Number,
